"","eigen.corrmtr..values","cum_sum_eigen","pct_var","cum_pct_var"
"1",8.42027684869892,8.42027684869892,0.187117263304421,0.187117263304421
"2",3.61286710475344,12.0331439534524,0.0802859356611875,0.267403198965608
"3",2.82123238605359,14.854376339506,0.0626940530234131,0.330097251989021
"4",2.25777782202221,17.1121541615282,0.0501728404893825,0.380270092478404
"5",1.96382782442961,19.0759819859578,0.0436406183206579,0.423910710799062
"6",1.84466579345964,20.9206477794174,0.0409925731879921,0.464903283987054
"7",1.56343767703963,22.484085456457,0.0347430594897697,0.499646343476823
"8",1.32729811556447,23.8113835720215,0.0294955136792104,0.529141857156034
"9",1.24797564465317,25.0593592166747,0.0277327921034037,0.556874649259438
"10",1.1533322107762,26.2126914274509,0.0256296046839156,0.582504253943353
"11",1.10492713688949,27.3176185643404,0.024553936375322,0.607058190318675
"12",1.06570785981712,28.3833264241575,0.0236823968848248,0.6307405872035
"13",1.04084591735794,29.4241723415154,0.0231299092746209,0.653870496478121
"14",1.03064204531615,30.4548143868316,0.022903156562581,0.676773653040702
"15",0.996990215879756,31.4518046027113,0.0221553381306613,0.698928991171363
"16",0.972678445977485,32.4244830486888,0.0216150765772774,0.720544067748641
"17",0.950477415073337,33.3749604637622,0.0211217203349631,0.741665788083604
"18",0.91734486235101,34.2923053261132,0.020385441385578,0.762051229469182
"19",0.901024400679565,35.1933297267927,0.0200227644595459,0.782073993928727
"20",0.868979334639669,36.0623090614324,0.0193106518808815,0.801384645809609
"21",0.834060859053837,36.8963699204862,0.0185346857567519,0.819919331566361
"22",0.773844695038456,37.6702146155247,0.0171965487786324,0.837115880344993
"23",0.72432618684583,38.3945408023705,0.0160961374854629,0.853212017830456
"24",0.709643375449499,39.10418417782,0.0157698527877667,0.868981870618223
"25",0.685712925205563,39.7898971030256,0.0152380650045681,0.884219935622791
"26",0.663812767428399,40.453709870454,0.0147513948317422,0.898971330454533
"27",0.534324480589644,40.9880343510436,0.0118738773464365,0.91084520780097
"28",0.487924772518562,41.4759591235622,0.0108427727226347,0.921687980523604
"29",0.410501349382342,41.8864604729445,0.0091222522084965,0.930810232732101
"30",0.390090297137945,42.2765507700825,0.00866867326973212,0.939478906001833
"31",0.371974882814009,42.6485256528965,0.00826610850697799,0.947745014508811
"32",0.315151051005094,42.9636767039016,0.00700335668900209,0.954748371197813
"33",0.283636063972108,43.2473127678737,0.00630302364382462,0.961051394841638
"34",0.255208230949902,43.5025209988236,0.00567129402110894,0.966722688862747
"35",0.237537070905537,43.7400580697291,0.00527860157567861,0.972001290438425
"36",0.217855654854722,43.9579137245838,0.00484123677454937,0.976842527212975
"37",0.209739917774616,44.1676536423585,0.00466088706165813,0.981503414274633
"38",0.202175176023278,44.3698288183817,0.00449278168940618,0.985996195964039
"39",0.145626031840811,44.5154548502225,0.00323613404090691,0.989232330004946
"40",0.133895435089267,44.6493502853118,0.00297545411309481,0.992207784118041
"41",0.129571774846333,44.7789220601582,0.00287937277436296,0.995087156892404
"42",0.109958819945804,44.888880880104,0.00244352933212897,0.997530686224533
"43",0.0689747909342444,44.9578556710382,0.0015327731318721,0.999063459356405
"44",0.0421443289617904,45,0.000936540643595343,1
"45",-2.00185527536831e-16,45,-4.44856727859624e-18,1
